Station,Complex,Stop_ID,Division,Line,Stop_Name,Borough,Daytime_Routes,Structure,Latitude,Longitude,North_Label,South_Label,CBD
18 AV-D,66,B19,BMT,West End,18 Av,Bk,D,Elevated,40.607954,-74.001736,Manhattan,Coney Island,"N"
18 AV-F,245,F30,IND,6th Av - Culver,18 Av,Bk,F,Elevated,40.629755,-73.976971,Manhattan,Coney Island,"N"
18 AV-N,74,N05,BMT,Sea Beach,18 Av,Bk,N,Open Cut,40.620671,-73.990414,Manhattan,Coney Island,"N"
18 ST-1,321,131,IRT,Broadway - 7Av,18 St,M,1,Subway,40.74104,-73.997871,Uptown & The Bronx,Downtown,"Y"
181 ST-1,301,111,IRT,Broadway - 7Av,181 St,M,1,Subway,40.849505,-73.933596,Uptown & The Bronx,Downtown,"N"
181 ST-A,146,A06,IND,8th Av - Fulton St,181 St,M,A,Subway,40.851695,-73.937969,207 St,Downtown & Brooklyn,"N"
182-183 STS-BD,214,D06,IND,Concourse,182-183 Sts,Bx,B D,Subway,40.856093,-73.900741,Bedford Pk Blvd & 205 St,Manhattan,"N"
183 ST-4,383,408,IRT,Jerome Av,183 St,Bx,4,Elevated,40.858407,-73.903879,Woodlawn,Manhattan,"N"
190 ST-A,145,A05,IND,8th Av - Fulton St,190 St,M,A,Subway,40.859022,-73.93418,207 St,Downtown & Brooklyn,"N"
191 ST-1,300,110,IRT,Broadway - 7Av,191 St,M,1,Subway,40.855225,-73.929412,Uptown & The Bronx,Downtown,"N"
2 AV-F,232,F14,IND,6th Av - Culver,2 Av,M,F,Subway,40.723402,-73.989938,Uptown & Queens,Downtown & Brooklyn,"Y"
20 AV-D,67,B20,BMT,West End,20 Av,Bk,D,Elevated,40.604556,-73.998168,Manhattan,Coney Island,"N"
20 AV-N,75,N06,BMT,Sea Beach,20 Av,Bk,N,Open Cut,40.61741,-73.985026,Manhattan,Coney Island,"N"
207 ST-1,298,108,IRT,Broadway - 7Av,207 St,M,1,Elevated,40.864621,-73.918822,Uptown & The Bronx,Downtown,"N"
21 ST-G,282,G24,IND,Crosstown,21 St,Q,G,Subway,40.744065,-73.949724,Court Sq,Brooklyn,"N"
21 ST-QNSBRIDGE-F,221,B04,IND,63rd St,21 St-Queensbridge,Q,F,Subway,40.754203,-73.942836,Jamaica,Manhattan,"N"
215 ST-1,297,107,IRT,Broadway - 7Av,215 St,M,1,Elevated,40.869444,-73.915279,The Bronx,Downtown,"N"
219 ST-25,420,207,IRT,Lenox - White Plains Rd,219 St,Bx,2 5,Elevated,40.883895,-73.862633,Wakefield - 241 St,Manhattan,"N"
225 ST-25,419,206,IRT,Lenox - White Plains Rd,225 St,Bx,2 5,Elevated,40.888022,-73.860341,Wakefield - 241 St,Manhattan,"N"
23 ST-1,320,130,IRT,Broadway - 7Av,23 St,M,1,Subway,40.744081,-73.995657,Uptown & The Bronx,Downtown,"Y"
23 ST-6,405,634,IRT,Lexington Av,23 St,M,6,Subway,40.739864,-73.986599,Uptown & The Bronx,Downtown,"Y"
23 ST-CE,165,A30,IND,8th Av - Fulton St,23 St,M,C E,Subway,40.745906,-73.998041,Uptown - Queens,Downtown & Brooklyn,"Y"
23 ST-FM,228,D18,IND,6th Av - Culver,23 St,M,F M,Subway,40.742878,-73.992821,Uptown & Queens,Downtown & Brooklyn,"Y"
23 ST-NRW,14,R19,BMT,Broadway - Brighton,23 St,M,R W,Subway,40.741303,-73.989344,Uptown & Queens,Downtown & Brooklyn,"Y"
231 ST-1,295,104,IRT,Broadway - 7Av,231 St,Bx,1,Elevated,40.878856,-73.904834,242 St,Manhattan,"N"
233 ST-25,418,205,IRT,Lenox - White Plains Rd,233 St,Bx,2 5,Elevated,40.893193,-73.857473,Wakefield - 241 St,Manhattan,"N"
238 ST-1,294,103,IRT,Broadway - 7Av,238 St,Bx,1,Elevated,40.884667,-73.90087,242 St,Manhattan,"N"
25 AV-D,69,B22,BMT,West End,25 Av,Bk,D,Elevated,40.597704,-73.986829,Manhattan,Coney Island,"N"
25 ST-R,31,R35,BMT,4th Av,25 St,Bk,R,Subway,40.660397,-73.998091,Manhattan,Bay Ridge - 95 St,"N"
28 ST-1,319,129,IRT,Broadway - 7Av,28 St,M,1,Subway,40.747215,-73.993365,Uptown & The Bronx,Downtown,"Y"
28 ST-6,404,633,IRT,Lexington Av,28 St,M,6,Subway,40.74307,-73.984264,Uptown & The Bronx,Downtown,"Y"
28 ST-NRW,13,R18,BMT,Broadway - Brighton,28 St,M,R W,Subway,40.745494,-73.988691,Uptown & Queens,Downtown & Brooklyn,"Y"
3 AV 138 ST-6,377,619,IRT,Pelham,3 Av-138 St,Bx,6,Subway,40.810476,-73.926138,Pelham Bay Park,Manhattan,"N"
3 AV-149 ST-25,434,221,IRT,Lenox - White Plains Rd,3 Av-149 St,Bx,2 5,Subway,40.816109,-73.917757,Wakefield - Eastchester,Manhattan,"N"
3 AV-L,118,L05,BMT,Canarsie,3 Av,M,L,Subway,40.732849,-73.986122,8 Av,Brooklyn,"Y"
30 AV-NQW,3,R04,BMT,Astoria,30 Av,Q,N W,Elevated,40.766779,-73.921479,Astoria - Ditmars Blvd,Manhattan,"N"
33 ST-6,403,632,IRT,Lexington Av,33 St,M,6,Subway,40.746081,-73.982076,Uptown & The Bronx,Downtown,"Y"
33 ST-RAWSON ST-7,460,716,IRT,Flushing,33 St-Rawson St,Q,7,Elevated,40.744587,-73.930997,Flushing,Manhattan,"N"
34 ST-HERALD SQ-BDFMNQRW,607,R17,BMT,Broadway - Brighton,34 St-Herald Sq,M,B D F M N Q R W,Subway,40.749567,-73.98795,Uptown & Queens,Downtown & Brooklyn,"Y"
